sueño(hr),agua(lt),pasos,comida_chatarra(kcal),estres,saludable,Fecha
4.97,0.86,4212.00,642.64,7.00,0.00,2024-10-31
8.14,2.55,10841.00,305.27,3.00,1.00,2024-11-01
5.57,1.65,3276.00,483.54,8.00,0.00,2024-11-02
7.42,2.29,9787.00,101.65,2.00,1.00,2024-11-03
5.84,0.96,4685.00,648.74,8.00,0.00,2024-11-04
5.80,1.08,2388.00,708.94,7.00,0.00,2024-11-05
3.02,1.01,4090.00,634.07,5.00,0.00,2024-11-06
7.73,2.13,9441.00,420.11,1.00,1.00,2024-11-07
5.02,1.60,5580.00,714.03,5.00,0.00,2024-11-08
6.87,2.59,11762.00,73.45,5.00,1.00,2024-11-09
5.61,1.05,4643.00,849.04,7.00,0.00,2024-11-10
6.56,2.17,3982.00,718.44,6.00,0.00,2024-11-11
4.52,1.46,3603.00,781.48,6.00,0.00,2024-11-12
7.86,2.54,6997.00,252.22,4.00,1.00,2024-11-13
5.79,1.35,5312.00,875.87,8.00,0.00,2024-11-14
5.33,1.69,2563.00,748.31,5.00,0.00,2024-11-15
6.71,2.18,8530.00,257.97,0.00,1.00,2024-11-16
7.42,2.13,7006.00,330.39,4.00,1.00,2024-11-17
7.43,2.50,9110.00,85.01,4.00,1.00,2024-11-18
4.50,1.50,5203.00,1146.85,7.00,0.00,2024-11-19
6.83,1.36,2845.00,790.62,6.00,0.00,2024-11-20
4.67,1.18,3650.00,726.87,6.00,0.00,2024-11-21
8.10,2.82,10266.00,233.91,4.00,1.00,2024-11-22
7.64,2.72,9556.00,174.28,2.00,1.00,2024-11-23
6.92,2.52,9427.00,399.38,4.00,1.00,2024-11-24
7.41,2.32,11956.00,387.02,4.00,1.00,2024-11-25
7.52,2.80,9266.00,237.29,2.00,1.00,2024-11-26
6.95,3.18,10164.00,411.69,2.00,1.00,2024-11-27
8.39,1.89,8677.00,387.01,5.00,1.00,2024-11-28
6.45,0.90,3556.00,1053.08,8.00,0.00,2024-11-29
5.30,1.36,3975.00,679.90,8.00,0.00,2024-11-30
7.24,2.23,11119.00,156.72,0.00,1.00,2024-12-01
6.38,2.61,11579.00,268.62,1.00,1.00,2024-12-02
7.42,2.32,9503.00,421.69,4.00,1.00,2024-12-03
7.73,2.08,12199.00,89.53,4.00,1.00,2024-12-04
5.20,1.03,3454.00,459.42,8.00,0.00,2024-12-05
7.15,1.98,9921.00,183.48,4.00,1.00,2024-12-06
5.83,1.08,4718.00,677.15,7.00,0.00,2024-12-07
6.44,2.32,9221.00,65.84,0.00,1.00,2024-12-08
5.74,2.81,9682.00,121.61,4.00,1.00,2024-12-09
5.26,1.49,3625.00,799.88,8.00,0.00,2024-12-10
4.13,1.33,3859.00,679.58,7.00,0.00,2024-12-11
5.16,1.31,4274.00,881.54,7.00,0.00,2024-12-12
8.06,2.02,11784.00,352.59,6.00,1.00,2024-12-13
7.59,2.99,10594.00,146.34,2.00,1.00,2024-12-14
4.97,0.84,5848.00,991.83,5.00,0.00,2024-12-15
4.80,1.19,4138.00,497.37,7.00,0.00,2024-12-16
5.41,1.66,4882.00,763.22,5.00,0.00,2024-12-17
5.72,1.72,2153.00,707.89,8.00,0.00,2024-12-18
5.98,2.65,8109.00,36.61,5.00,1.00,2024-12-19
6.29,0.95,5521.00,449.15,7.00,0.00,2024-12-20
7.74,2.83,9540.00,236.41,1.00,1.00,2024-12-21
6.43,1.51,2409.00,847.49,8.00,0.00,2024-12-22
5.44,1.40,5067.00,1006.27,9.00,0.00,2024-12-23
7.38,2.98,8657.00,227.91,3.00,1.00,2024-12-24
7.58,2.16,8574.00,155.45,3.00,1.00,2024-12-25
6.78,1.54,2359.00,603.65,6.00,0.00,2024-12-26
5.67,1.56,2997.00,774.28,9.00,0.00,2024-12-27
7.07,2.67,9010.00,327.93,5.00,1.00,2024-12-28
8.23,2.34,6762.00,297.83,4.00,1.00,2024-12-29
6.41,2.69,7112.00,583.94,1.00,1.00,2024-12-30
7.25,1.74,10225.00,171.71,1.00,1.00,2024-12-31
6.60,2.29,11554.00,259.75,3.00,1.00,2025-01-01
4.93,1.44,4598.00,802.26,8.00,0.00,2025-01-02
6.75,1.37,2922.00,1011.04,6.00,0.00,2025-01-03
7.88,2.07,7749.00,289.36,4.00,1.00,2025-01-04
5.63,2.02,4063.00,804.79,8.00,0.00,2025-01-05
8.36,2.51,9260.00,259.37,3.00,1.00,2025-01-06
7.25,2.30,9210.00,384.65,4.00,1.00,2025-01-07
7.40,2.58,8081.00,207.79,3.00,1.00,2025-01-08
8.74,2.49,10324.00,429.78,5.00,1.00,2025-01-09
6.70,1.55,10341.00,154.80,5.00,1.00,2025-01-10
8.09,2.67,7742.00,-100.96,5.00,1.00,2025-01-11
4.27,0.84,4259.00,904.60,6.00,0.00,2025-01-12
7.02,3.04,9692.00,378.17,6.00,1.00,2025-01-13
6.31,0.97,3690.00,972.67,5.00,0.00,2025-01-14
5.60,1.42,4294.00,654.88,8.00,0.00,2025-01-15
5.29,1.18,3618.00,761.62,6.00,0.00,2025-01-16
5.66,1.81,3399.00,660.77,6.00,0.00,2025-01-17
7.72,1.17,3194.00,896.78,6.00,0.00,2025-01-18
8.53,2.21,11782.00,476.93,5.00,1.00,2025-01-19
3.64,0.86,3485.00,560.52,6.00,0.00,2025-01-20
7.44,2.37,7620.00,402.54,3.00,1.00,2025-01-21
8.05,2.16,10757.00,440.54,2.00,1.00,2025-01-22
7.74,2.58,10994.00,555.14,4.00,1.00,2025-01-23
6.91,2.03,9643.00,385.21,3.00,1.00,2025-01-24
6.18,2.47,9538.00,398.00,7.00,1.00,2025-01-25
6.92,2.13,10847.00,331.27,1.00,1.00,2025-01-26
7.27,2.36,7902.00,434.12,7.00,1.00,2025-01-27
4.47,1.09,2405.00,911.93,9.00,0.00,2025-01-28
7.10,2.57,12191.00,433.46,2.00,1.00,2025-01-29
6.60,1.06,706.00,654.41,6.00,0.00,2025-01-30
6.62,2.21,9003.00,368.10,3.00,1.00,2025-01-31
4.97,1.14,1388.00,836.40,8.00,0.00,2025-02-01
6.17,1.19,2587.00,973.06,7.00,0.00,2025-02-02
6.95,0.92,4979.00,513.91,8.00,0.00,2025-02-03
4.54,1.53,4451.00,600.23,7.00,0.00,2025-02-04
7.98,2.58,9836.00,346.47,2.00,1.00,2025-02-05
7.36,2.86,9963.00,351.39,2.00,1.00,2025-02-06
6.68,0.92,4423.00,911.37,7.00,0.00,2025-02-07
6.67,1.02,3155.00,822.13,4.00,0.00,2025-02-08
6.87,2.27,8724.00,391.40,5.00,1.00,2025-02-09
8.49,2.26,9486.00,240.93,4.00,1.00,2025-02-10
8.11,3.40,9115.00,143.50,3.00,1.00,2025-02-11
4.66,1.47,5275.00,916.82,4.00,0.00,2025-02-12
7.04,2.58,9293.00,344.50,3.00,1.00,2025-02-13
8.43,2.15,9432.00,179.92,1.00,1.00,2025-02-14
6.36,1.36,4869.00,1131.72,7.00,0.00,2025-02-15
