assignment_id,materia_id,group_id
1,1,1
2,2,1
3,3,1
4,4,1
5,5,1
6,6,2
7,7,2
8,8,2
9,9,2
10,10,2
11,11,3
12,12,3
13,13,3
14,14,3
15,15,4
16,16,23
17,17,23
18,18,23
19,19,23
20,20,23
21,21,23
22,22,23
23,23,24
24,24,24
25,25,24
26,26,24
27,27,24
28,28,24
29,29,24
30,30,25
31,31,25
32,32,25
33,33,25
34,34,25
35,35,25
36,36,25
37,37,26
38,38,26
39,39,26
40,40,26
41,41,26
42,42,26
43,43,27
44,44,27
45,45,27
46,46,27
47,47,27
48,48,27
49,49,27
50,50,28
51,51,28
52,52,28
53,53,28
54,54,28
55,55,28
56,56,28
57,57,29
58,58,29
59,59,29
60,60,29
61,61,29
62,62,29
63,63,29
64,64,29
65,65,30
66,66,30
67,67,30
68,71,30
69,73,30
70,74,30
71,75,30
72,72,30
73,76,31
74,68,31
75,69,31
76,70,31
77,16,15
78,19,15
79,77,15
80,17,15
81,22,15
82,18,15
83,78,15
84,24,16
85,38,16
86,79,16
87,80,16
88,81,16
89,82,16
90,26,16
91,83,16
92,30,17
93,31,17
94,25,17
95,32,17
96,129,17
97,130,17
98,34,17
99,35,17
100,86,17
101,37,18
102,87,18
103,88,18
104,89,18
105,90,18
106,91,18
107,92,19
108,93,19
109,94,19
110,95,19
111,96,19
112,97,19
113,98,20
114,168,20
115,99,20
116,100,20
117,101,20
118,102,20
119,103,21
120,104,21
121,105,21
122,106,21
123,107,21
124,75,21
125,108,21
126,109,21
127,110,21
128,111,22
129,112,22
130,113,22
131,114,22
132,115,22
133,116,22
134,117,33
135,118,33
136,119,33
137,120,33
138,121,33
139,122,33
140,72,34
141,18,5
142,19,5
143,20,5
144,125,5
145,77,5
146,22,5
147,16,5
148,17,5
149,24,6
150,26,6
151,25,6
152,126,6
153,127,6
154,80,6
155,81,6
156,128,6
157,79,6
158,129,7
159,130,7
160,34,7
161,35,7
162,91,7
163,131,7
164,132,7
165,31,7
166,30,7
167,133,7
168,39,8
169,38,8
170,49,8
171,134,8
172,89,8
173,90,8
174,37,8
175,135,8
176,136,8
177,86,9
178,137,9
179,45,9
180,138,9
181,139,9
182,140,9
183,141,10
184,142,10
185,143,10
186,144,10
187,60,10
188,145,10
189,146,10
190,71,11
191,148,11
192,149,11
193,150,11
194,151,11
195,152,11
196,153,11
197,72,12
198,73,12
199,154,12
200,155,12
201,156,12
202,157,12
203,158,12
204,159,13
205,160,13
206,161,13
207,162,13
208,163,13
209,164,13
210,165,13
211,166,13
212,167,14
