carrera_id,grupo_id,mat_id,lecture_id,size,hrs,features
MCIA,S1,MI,101,10,3,projector|whiteboard
MCIA,S1,MA,102,10,3,projector|whiteboard
MCIA,S1,CA,103,10,3,projector|whiteboard
MCIA,S1,NN,104,10,3,projector|whiteboard
MCIA,S1,ML,105,10,3,projector|whiteboard
MCIA,S2,ME,201,10,3,projector|whiteboard
MCIA,S2,AM,202,10,3,projector|whiteboard
MCIA,S2,DL,203,10,3,projector|whiteboard
MCIA,S2,OP1,204,10,3,projector|whiteboard
MCIA,S2,OP2,205,10,3,projector|whiteboard
MCIA,S3,ST1,301,10,3,projector|whiteboard
MCIA,S3,EC,302,10,3,projector|whiteboard
MCIA,S3,OP3,303,10,3,projector|whiteboard
MCIA,S3,OP4,304,10,3,projector|whiteboard
MCIA,S4,ST2,401,10,3,projector|whiteboard
NANO,S1,CD,111,30,5,projector|whiteboard
NANO,S1,AL,112,30,5,projector|whiteboard
NANO,S1,F1,113,30,4,projector|whiteboard
NANO,S1,QM,114,30,4,projector|whiteboard
NANO,S1,IN,115,30,3,projector|whiteboard
NANO,S1,PE,116,30,4,projector|whiteboard
NANO,S1,US,117,30,3,projector|whiteboard
NANO,S2,CI,211,30,5,projector|whiteboard
NANO,S2,PC,212,30,5,projector|whiteboard
NANO,S2,F2,213,30,5,projector|whiteboard
NANO,S2,QI,214,30,5,projector|whiteboard
NANO,S2,QO,215,30,5,projector|whiteboard
NANO,S2,QA,216,30,5,projector|whiteboard
NANO,S2,BI,217,30,5,projector|whiteboard
