 ,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,0,306613.9066,632477.8441,2024666.904,3245136.361,3855874.331,3667299.526,2940971.334,3631959.727,3668908.499,3798722.935,3567181.952,4196286.274,4792674.683,6919273.623,8722912.618,8654135.824,8369476.362
1,306613.9066,0,325870.7026,1757493.983,2943690.694,3551688.717,3360687.313,2642612.713,3346101.934,3396838.634,3569009.201,3433650.879,4003266.3,4574399.09,6876403.136,8603897.315,8526515.946,8201231.966
2,632477.8441,325870.7026,0,1491668.041,2623895.564,3228432.253,3034822.612,2328556.61,3047518.413,3115566.263,3339098.916,3317286.892,3814673.858,4354202.706,6842358.746,8483303.247,8396834.19,8028305.886
3,2024666.904,1757493.983,1491668.041,0,2012518.994,2428448.437,2067095.163,1097695.333,1637663.039,1644646.064,1873347.123,2200658.044,2430237.147,2895331.275,5866509.474,7204080.759,7095185.748,6631519.357
4,3245136.361,2943690.694,2623895.564,2012518.994,0,637376.9553,706143.506,1211116.179,1766474.343,2110338.211,2905757.07,3896665.04,3639152.513,3711443.731,7406833.905,8182011.634,8027012.299,7314459.496
5,3855874.331,3551688.717,3228432.253,2428448.437,637376.9553,0,459576.2317,1427923.825,1689817.205,2056303.358,2900999.894,4052493.268,3625881.229,3562879.674,7392448.411,7934021.429,7766909.903,6992359.999
6,3667299.526,3360687.313,3034822.612,2067095.163,706143.506,459576.2317,0,1010928.491,1236525.053,1602407.487,2444577.487,3596037.685,3171796.602,3136783.025,6942713.76,7553433.915,7391650.942,6648170.185
7,2940971.334,2642612.713,2328556.61,1097695.333,1211116.179,1427923.825,1010928.491,0,809655.7626,1048434.252,1742841.28,2689435.686,2466092.539,2647515.568,6211755.524,7144522.885,7004745.442,6381747.892
8,3631959.727,3346101.934,3047518.413,1637663.039,1766474.343,1689817.205,1236525.053,809655.7626,0,366515.6256,1213386.863,2448027.541,1936085.832,1945200.546,5706405.804,6428744.623,6279349.234,5613295.536
9,3668908.499,3396838.634,3115566.263,1644646.064,2110338.211,2056303.358,1602407.487,1048434.252,366515.6256,0,847954.7354,2113909.147,1569667.541,1615255.475,5341339.543,6112009.847,5967702.878,5333317.329
10,3798722.935,3569009.201,3339098.916,1873347.123,2905757.07,2900999.894,2444577.487,1742841.28,1213386.863,847954.7354,0,1354611.987,734173.2267,1022094.879,4509570.992,5441962.989,5313867.679,4778528.95
11,3567181.952,3433650.879,3317286.892,2200658.044,3896665.04,4052493.268,3596037.685,2689435.686,2448027.541,2113909.147,1354611.987,0,1016470.462,1748878.097,3665858.556,5171217.32,5093062.734,4826465.036
12,4196286.274,4003266.3,3814673.858,2430237.147,3639152.513,3625881.229,3171796.602,2466092.539,1936085.832,1569667.541,734173.2267,1016470.462,0,737078.7085,3776129.471,4786040.591,4670292.775,4216942.952
13,4792674.683,4574399.09,4354202.706,2895331.275,3711443.731,3562879.674,3136783.025,2647515.568,1945200.546,1615255.475,1022094.879,1748878.097,737078.7085,0,3897006.278,4498418.834,4357237.284,3770269.218
14,6919273.623,6876403.136,6842358.746,5866509.474,7406833.905,7392448.411,6942713.76,6211755.524,5706405.804,5341339.543,4509570.992,3665858.556,3776129.471,3897006.278,0,2342638.495,2412341.07,2944526.389
15,8722912.618,8603897.315,8483303.247,7204080.759,8182011.634,7934021.429,7553433.915,7144522.885,6428744.623,6112009.847,5441962.989,5171217.32,4786040.591,4498418.834,2342638.495,0,204263.2769,1188830.391
16,8654135.824,8526515.946,8396834.19,7095185.748,8027012.299,7766909.903,7391650.942,7004745.442,6279349.234,5967702.878,5313867.679,5093062.734,4670292.775,4357237.284,2412341.07,204263.2769,0,984642.3331
17,8369476.362,8201231.966,8028305.886,6631519.357,7314459.496,6992359.999,6648170.185,6381747.892,5613295.536,5333317.329,4778528.95,4826465.036,4216942.952,3770269.218,2944526.389,1188830.391,984642.3331,0
,,,,,,,,,,,,,,,,,,
,7,,,,,,,,,,,,,,,,,
,15,,,,,,,,,,,,,,,,,
,4,,,,,,,,,,,,,,,,,
,13,,,,,,,,,,,,,,,,,
,17,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,
,11,,,,,,,,,,,,,,,,,
,16,,,,,,,,,,,,,,,,,
,9,,,,,,,,,,,,,,,,,
,6,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,
,3,,,,,,,,,,,,,,,,,
,12,,,,,,,,,,,,,,,,,
