group_id,program_id,name,size,semester
1,1,MCIA_1,10,1
2,1,MCIA_2,8,2
3,1,MCIA_3,15,3
4,1,MCIA_4,7,4
5,2,NANO_1,30,1
6,2,NANO_2,30,2
7,2,NANO_3,30,3
8,2,NANO_4,30,4
9,2,NANO_5,30,5
10,2,NANO_6,30,6
11,2,NANO_7,30,7
12,2,NANO_8,30,8
13,2,NANO_9,30,9
14,2,NANO_10,30,10
15,3,BIOMED_1,30,1
16,3,BIOMED_2,30,2
17,3,BIOMED_3,30,3
18,3,BIOMED_4,30,4
19,3,BIOMED_5,30,5
20,3,BIOMED_6,30,6
21,3,BIOMED_7,30,7
22,3,BIOMED_8,30,8
23,4,FIS_1,30,1
24,4,FIS_2,30,2
25,4,FIS_3,30,3
26,4,FIS_4,30,4
27,4,FIS_5,30,5
28,4,FIS_6,30,6
29,4,FIS_7,30,7
30,4,FIS_8,30,8
31,4,FIS_9,30,9
32,4,FIS_10,30,10
33,3,BIOMED_9,30,9
34,3,BIOMED_10,30,10
