materia_id,code,name,hours_per_week,room_type_required
1,MI,Metodologia_de_la_Investigacion,3,normal
2,MA,Matematicas_Avanzadas,3,normal
3,CA,Computacion_Avanzada,3,normal
4,NN,Redes_Neuronales,3,normal
5,ML,Aprendizaje_Automatico,3,normal
6,ME,Metodos_Estadisticos,3,normal
7,AM,Algoritmos_Metaheuristicos,3,normal
8,DL,Aprendizaje_Profundo,3,normal
9,OP1,Optativa_1,3,normal
10,OP2,Optativa_2,3,normal
11,ST1,Seminario_de_Tesis_1,3,normal
12,EC,Escritura_Cientifica,3,normal
13,OP3,Optativa_3,3,normal
14,OP4,Optativa_4,3,normal
15,ST2,Seminario_de_Tesis_2,3,normal
16,AL,Algebra_Lineal,5,normal
17,CD,Calculo_Diferencial,5,normal
18,F1,Fisica_1,4,normal
19,Q1,Quimica_1,3,normal
20,LQ,Laboratorio_Quimica,1,laboratorio
21,IC,Intro_a_la_Computacion,2,normal
22,US,Universidad_y_Sociedad,3,normal
23,FE,Fisica_Experimental,3,laboratorio
24,CI,Calculo_Integral,4,normal
25,F2,Fisica_2,4,normal
26,P1,Programacion_1,5,normal
27,II,Intro_a_la_Ingenieria,3,normal
28,OH,Optativa_de_Humanidades_1,3,_normal
29,T1,Taller_1,1,normal
30,CM,Calculo_Multivariable,4,normal
31,ED,Ecuaciones_Diferenciales,4,normal
32,P2,Programacion_2,4,normal
33,FE2,Fisica_Experimental_2,3,laboratorio
34,EM,Electromagnetismo,3,normal
35,LEM,Laboratorio_de_Electromagnetismo,1,laboratorio
36,T2,Taller_2,1,normal
37,AN,Analisis_Numerico,4,normal
38,T,Termodinamica,4,normal
39,MM1,Metodos_Matematicos,4,normal
40,FM,Fisica_Moderna,4,normal
41,MC,Mecanica_Clasica,4,normal
42,T3,Taller_3,1,normal
43,PMM,Propiedades_Mecanicas_de_los_Materiales,3,normal
44,MM2,Metodos_Matematicos_2,4,normal
45,MCU,Mecanica_Cuantica,4,normal
46,ASP,Analisis_de_Sistemas_Probabilisticos,3,normal
47,PF1,Proyecto_Fase_1,1,normal
48,T4,Taller_4,1,normal
49,OF,Optica_Fisica,4,normal
50,PF2,Proyecto_Fase_2,1,normal
51,SD1,Sistemas_Dinamicos_1,3,normal
52,EF,Elemento_Finito,3,normal
53,LE,Laboratorio_de_Electronica,4,normal
54,T5,Taller_5,1,normal
55,FSE,Fisica_Estadistica,4,normal
56,EDC,Electrodinamica_Clasica,4,normal
57,PF3,Proyecto_Fase_3,1,normal
58,LAFM,Laboratorio_Avanzado_de_Fisico_por_Materiales,2,normal
59,SD2,Sistemas_Dinamicos_2,3,normal
60,FES,Fisica_del_Estado_Solido,3,normal
61,PC,Principios_de_Caracterizacion,3,normal
62,PEMM,Propiedades_Electricas_y_Magneticas_de_los_Materiales,3,normal
63,T6,Taller_6,1,normal
64,D,Didactica,3,normal
65,OEF1,Optativa_Especialidad_1_Fisica,3,normal
66,OEF2,Optativa_Especialidad_2_Fisica,3,normal
67,OEF3,Optativa_Especialidad_3_Fisica,3,normal
68,OEF4,Optativa_Especialidad_4_Fisica,3,normal
69,OEF5,Optativa_Especialidad_5_Fisica,3,normal
70,OEF6,Optativa_Especialidad_6_Fisica,3,normal
71,DS,Dispositivos_Semiconductores,3,normal
72,STT,Seminario_de_Titulacion,2,normal
73,FC,Fisica_Computacional,3,normal
74,CDD,Ciencia_de_Datos,3,normal
75,BE,Bioetica,3,normal
76,SE,Sistemas_Estocasticos,3,normal
77,PE,Probabilidad_y_Estadistica,4,normal
78,IB,Intro_a_Biomedica,3,normal
79,BL,Biologia,4,normal
80,QO,Quimica_Organica,3,normal
81,LQO,Laboratorio_Quimica_Organica,1,laboratorio
82,E,Estatica,4,normal
83,EOE,Expresion_Oral_y_Escrita,3,normal
84,FBM,Fisíca II: Óptica y fisíca cuántica,2,normal
85,LFBM,Laboratorio_Fisíca II: Óptica y fisíca cuántica,2,laboratorio
86,FQ,Fisicoquimica,3,normal
87,BM,Biomagnetismo,4,normal
88,A,Anatomia,5,normal
89,CE,Circuitos_Electricos,2,normal
90,LCE,Laboratorio_Circuitos_Electricos,2,laboratorio
91,BQ,Bioquimica,4,normal
92,TM,Tecnologia_de_Materiales,4,normal
93,FI1,Fisiologia,4,normal
94,MSSB,Modelado y Simulación de Sistemas Biológicos,4,normal
95,EA,Electronica_Analogica,4,normal
96,S,Sustentabilidad,3,normal
97,IBS,Intro_Biosensores,4,normal
98,ELD,Electronica_Digital,4,normal
99,TC,Teoria_de_Control,4,normal
100,BMT,Biomateriales,4,normal
101,PS,Procesamiento_de_Señales,2,normal
102,CCC,CAD_CAM_CAE,5,normal
103,ICN,Ing_Clinica,4,normal
104,CINT,Control_Inteligente,2,normal
105,LCINT,Laboratorio_Control_Inteligente,2,laboratorio
106,BMC,Biomecanica,4,normal
107,BI,Bioinstrumentacion,4,normal
108,BELC,Bioelectronica,2,normal
109,LBELC,Laboratorio_Bioelectronica,2,normal
110,IMG,Imagenologia,4,normal
111,SB,Sistemas_Biomecanicos,4,normal
112,GT,Gestion_de_la_Tecnologia,5,normal
113,OE1B,Optativa_Especialidad_1_BioMed,4,normal
114,OE2B,Optativa_Especialidad_2_BioMed,4,normal
115,OE3B,Optativa_Especialidad_3_BioMed,4,normal
116,OE4B,Optativa_Especialidad_4_BioMed,4,normal
117,OE5B,Optativa_Especialidad_5_BioMed,4,normal
118,OE6B,Optativa_Especialidad_6_BioMed,4,normal
119,OE7B,Optativa_Especialidad_7_BioMed,4,normal
120,OE8B,Optativa_Especialidad_8_BioMed,4,normal
121,TS1,Topicos_Selectos_1,3,normal
122,LTS1,Laboratorio_Topicos_Selectos_1,2,laboratorio
123,TS2,Topicos_Selectos_2,3,normal
124,LTS2,Laboratorio_Topicos_Selectos_2,2,laboratorio
125,IN,Intro_Nanotecnologia,3,normal
126,QI,Quimica_Inorganica,3,normal
127,LQI,Laboratorio_Quimica_Inorganica,1,normal
128,QA,Quimica_Analitica,4,normal
129,QO2,Quimica_Organica_2,3,normal
130,LQO2,Laboratorio_Quimica_Organica_2,1,laboatorio
131,QI2,Quimica_Inorganica_2,3,normal
132,LQI2,Laboratorio_Quimica_Inorganica_2,1,laboratorio
133,R,Redaccion,2,normal
134,I,Instrumental_1,3,normal
135,BMLC,Biologia_Molecular,3,normal
136,LBMLC,Laboratorio_Biologia_Molecular,1,laboratorio
137,I2,Instrumental_2,3,normal
138,MCE,Microelectronica,3,laboratorio
139,TSB,Tópicos Selectos de Biofísica,3,normal
140,TSI,Topicos_Selectos_de_Ingenieria,4,normal
141,OU,Operaciones_Unitarias,4,normal
142,IM1,Ingenieria_de_Materiales_1,3,normal
143,LIM1,Laboratorio_Ingenieria_de_Materiales_1,2,laboratorio
144,BT,Biotecnologia,3,normal
145,OE1N,Optativa_Especialidad_1_Nano,3,normal
