room_id,name,capacity,type
1,14A2 1,30,normal
2,14A2 2,30,normal
3,14A2 3,15,normal
4,14A2 4,15,normal
5,14A2 5,15,normal
6,14A2 6,15,normal
7,14A2 7,15,normal
8,14A2 8,30,normal
9,14A2 9,30,normal
10,14A2 10,30,normal
11,14A2 11,30,normal
12,14A2 12,30,normal
13,14A2 13,30,normal
14,14A2 14,30,normal
15,14A2 15,30,normal
16,14A2 16,30,normal
17,14A2 17,30,normal
18,14A2 18,30,normal
19,14A2 19,30,normal
20,14A2 20,30,normal
21,14A2 21,30,normal
22,UM 10,30,normal
23,UM 11,30,normal
24,UM 12,30,normal
25,UM 13,30,normal
26,UM LE,30,laboratorio
27,UM LBE,30,laboratorio
