assignment_id,materia_id,group_id,program_id,group_name,size,semester,code,subject_name,hours_per_week,room_type_required,program_name
1,1,1,1,MCIA_1,10,1,MI,Metodologia_de_la_Investigacion,3,normal,MC. Inteligencia Artificial
2,2,1,1,MCIA_1,10,1,MA,Matematicas_Avanzadas,3,normal,MC. Inteligencia Artificial
3,3,1,1,MCIA_1,10,1,CA,Computacion_Avanzada,3,normal,MC. Inteligencia Artificial
4,4,1,1,MCIA_1,10,1,NN,Redes_Neuronales,3,normal,MC. Inteligencia Artificial
5,5,1,1,MCIA_1,10,1,ML,Aprendizaje_Automatico,3,normal,MC. Inteligencia Artificial
6,6,2,1,MCIA_2,8,2,ME,Metodos_Estadisticos,3,normal,MC. Inteligencia Artificial
7,7,2,1,MCIA_2,8,2,AM,Algoritmos_Metaheuristicos,3,normal,MC. Inteligencia Artificial
8,8,2,1,MCIA_2,8,2,DL,Aprendizaje_Profundo,3,normal,MC. Inteligencia Artificial
9,9,2,1,MCIA_2,8,2,OP1,Optativa_1,3,normal,MC. Inteligencia Artificial
10,10,2,1,MCIA_2,8,2,OP2,Optativa_2,3,normal,MC. Inteligencia Artificial
11,11,3,1,MCIA_3,15,3,ST1,Seminario_de_Tesis_1,3,normal,MC. Inteligencia Artificial
12,12,3,1,MCIA_3,15,3,EC,Escritura_Cientifica,3,normal,MC. Inteligencia Artificial
13,13,3,1,MCIA_3,15,3,OP3,Optativa_3,3,normal,MC. Inteligencia Artificial
14,14,3,1,MCIA_3,15,3,OP4,Optativa_4,3,normal,MC. Inteligencia Artificial
15,15,4,1,MCIA_4,7,4,ST2,Seminario_de_Tesis_2,3,normal,MC. Inteligencia Artificial
16,16,23,4,FIS_1,30,1,AL,Algebra_Lineal,5,normal,Ing. Fisica
17,17,23,4,FIS_1,30,1,CD,Calculo_Diferencial,5,normal,Ing. Fisica
18,18,23,4,FIS_1,30,1,F1,Fisica_1,4,normal,Ing. Fisica
19,19,23,4,FIS_1,30,1,Q1,Quimica_1,3,normal,Ing. Fisica
20,20,23,4,FIS_1,30,1,LQ,Laboratorio_Quimica,1,laboratorio,Ing. Fisica
21,21,23,4,FIS_1,30,1,IC,Intro_a_la_Computacion,2,normal,Ing. Fisica
22,22,23,4,FIS_1,30,1,US,Universidad_y_Sociedad,3,normal,Ing. Fisica
23,23,24,4,FIS_2,30,2,FE,Fisica_Experimental,3,laboratorio,Ing. Fisica
24,24,24,4,FIS_2,30,2,CI,Calculo_Integral,4,normal,Ing. Fisica
25,25,24,4,FIS_2,30,2,F2,Fisica_2,4,normal,Ing. Fisica
26,26,24,4,FIS_2,30,2,P1,Programacion_1,5,normal,Ing. Fisica
27,27,24,4,FIS_2,30,2,II,Intro_a_la_Ingenieria,3,normal,Ing. Fisica
28,28,24,4,FIS_2,30,2,OH,Optativa_de_Humanidades_1,3,normal,Ing. Fisica
29,29,24,4,FIS_2,30,2,T1,Taller_1,1,normal,Ing. Fisica
30,30,25,4,FIS_3,30,3,CM,Calculo_Multivariable,4,normal,Ing. Fisica
31,31,25,4,FIS_3,30,3,ED,Ecuaciones_Diferenciales,4,normal,Ing. Fisica
32,32,25,4,FIS_3,30,3,P2,Programacion_2,4,normal,Ing. Fisica
33,33,25,4,FIS_3,30,3,FE2,Fisica_Experimental_2,3,laboratorio,Ing. Fisica
34,34,25,4,FIS_3,30,3,EM,Electromagnetismo,3,normal,Ing. Fisica
35,35,25,4,FIS_3,30,3,LEM,Laboratorio_de_Electromagnetismo,1,laboratorio,Ing. Fisica
36,36,25,4,FIS_3,30,3,T2,Taller_2,1,normal,Ing. Fisica
37,37,26,4,FIS_4,30,4,AN,Analisis_Numerico,4,normal,Ing. Fisica
38,38,26,4,FIS_4,30,4,T,Termodinamica,4,normal,Ing. Fisica
39,39,26,4,FIS_4,30,4,MM1,Metodos_Matematicos,4,normal,Ing. Fisica
40,40,26,4,FIS_4,30,4,FM,Fisica_Moderna,4,normal,Ing. Fisica
41,41,26,4,FIS_4,30,4,MC,Mecanica_Clasica,4,normal,Ing. Fisica
42,42,26,4,FIS_4,30,4,T3,Taller_3,1,normal,Ing. Fisica
