,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
07:00-07:30,Metodologia_de_la_Investigacion (MCIA_1),,Sistemas_Estocasticos (FIS_9),Termodinamica (FIS_4),,Imagenologia (BIOMED_7) | Quimica_1 (NANO_1),,,,,Labview (NANO_8),,,Ciencia_de_Datos (FIS_8),,,,,,Quimica_Organica_2 (BIOMED_3),,,CAD_CAM_CAE (BIOMED_6),Fisiologia (BIOMED_5),,,,
07:30-08:00,Metodologia_de_la_Investigacion (MCIA_1),,Sistemas_Estocasticos (FIS_9),Termodinamica (FIS_4),,Bioquimica (BIOMED_4) | Imagenologia (BIOMED_7) | Quimica_1 (NANO_1),,,,,Labview (NANO_8),,,Ciencia_de_Datos (FIS_8),,,,,,Quimica_Organica_2 (BIOMED_3),,,CAD_CAM_CAE (BIOMED_6),Fisiologia (BIOMED_5),,,,
08:00-08:30,Metodologia_de_la_Investigacion (MCIA_1),,Sistemas_Estocasticos (FIS_9) | MEMS (NANO_9),Termodinamica (FIS_4),,Bioquimica (BIOMED_4) | Quimica_1 (NANO_1),,,,,Labview (NANO_8),,,Ciencia_de_Datos (FIS_8),,,,,,Quimica_Organica_2 (BIOMED_3),Biomecanica (BIOMED_7),,,Fisiologia (BIOMED_5),,,,
08:30-09:00,Metodologia_de_la_Investigacion (MCIA_1),,Sistemas_Estocasticos (FIS_9) | MEMS (NANO_9),Termodinamica (FIS_4),,Bioquimica (BIOMED_4) | Quimica_1 (NANO_1),,,,,Labview (NANO_8),,,Propiedades_Mecanicas_de_los_Materiales (FIS_5),,,,,,Quimica_Organica_2 (BIOMED_3),Biomecanica (BIOMED_7),,Probabilidad_y_Estadistica (NANO_1),Fisiologia (BIOMED_5),,,,
09:00-09:30,Metodologia_de_la_Investigacion (MCIA_1),,Sistemas_Estocasticos (FIS_9) | MEMS (NANO_9),Termodinamica (FIS_4),,Bioquimica (BIOMED_4) | Quimica_1 (NANO_1),,Quimica_Organica (BIOMED_2),,,,Nanobiomateriales (NANO_7),Sistemas_Dinamicos_2 (FIS_7),Propiedades_Mecanicas_de_los_Materiales (FIS_5),,,,,,Taller_5 (FIS_6) | Quimica_Organica_2 (BIOMED_3),Biomecanica (BIOMED_7),Taller_4 (FIS_5),Probabilidad_y_Estadistica (NANO_1),Fisiologia (BIOMED_5),,,,Laboratorio_Ingenieria_de_Materiales_2 (NANO_7)
09:30-10:00,,,MEMS (NANO_9),Termodinamica (FIS_4),,Bioquimica (BIOMED_4),,Quimica_Organica (BIOMED_2),,,,Nanobiomateriales (NANO_7),Sistemas_Dinamicos_2 (FIS_7),Propiedades_Mecanicas_de_los_Materiales (FIS_5),,,,,,Taller_5 (FIS_6),Fisica_1 (FIS_1) | Biomecanica (BIOMED_7),Taller_4 (FIS_5),Probabilidad_y_Estadistica (NANO_1),Fisiologia (BIOMED_5),,,,Laboratorio_Ingenieria_de_Materiales_2 (NANO_7)
10:00-10:30,,,MEMS (NANO_9),,,Bioquimica (BIOMED_4),,Quimica_Organica (BIOMED_2),,,,Nanobiomateriales (NANO_7),Sistemas_Dinamicos_2 (FIS_7),Propiedades_Mecanicas_de_los_Materiales (FIS_5),,,,,,,Fisica_1 (FIS_1) | Biomecanica (BIOMED_7),,Probabilidad_y_Estadistica (NANO_1),,,,,Laboratorio_Ingenieria_de_Materiales_2 (NANO_7)
10:30-11:00,,,MEMS (NANO_9),,,Bioquimica (BIOMED_4),,Quimica_Organica (BIOMED_2),,,,Nanobiomateriales (NANO_7),Sistemas_Dinamicos_2 (FIS_7),Propiedades_Mecanicas_de_los_Materiales (FIS_5),,,,,,,Fisica_1 (FIS_1) | Biomecanica (BIOMED_7),,Probabilidad_y_Estadistica (NANO_1),,,,,Laboratorio_Ingenieria_de_Materiales_2 (NANO_7)
11:00-11:30,,,,,,Bioquimica (BIOMED_4),,Quimica_Organica (BIOMED_2),,,,Nanobiomateriales (NANO_7),Sistemas_Dinamicos_2 (FIS_7),Propiedades_Mecanicas_de_los_Materiales (FIS_5),,,,,,,Fisica_1 (FIS_1) | Biomecanica (BIOMED_7),Fisica_2 (BIOMED_3),Probabilidad_y_Estadistica (NANO_1),,,,,
11:30-12:00,,,,,,,,Quimica_Organica (BIOMED_2),,,,Nanobiomateriales (NANO_7),Sistemas_Dinamicos_2 (FIS_7) | Gestion_de_la_Tecnologia (BIOMED_8),,,,,,,,Fisica_1 (FIS_1) | Biomecanica (BIOMED_7),Fisica_2 (BIOMED_3) | Quimica_Inorganica_2 (NANO_3),Probabilidad_y_Estadistica (NANO_1),,,,,Microelectronica (NANO_5)
