,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
07:00-07:30,,,,,,,,,,,,,,,,,,,,,,,Electronica_Analogica (BIOMED_5),,Instrumental_2 (NANO_5),,,
07:30-08:00,,,,,Optativa_Especialidad_5_Fisica (FIS_9),,,,,,,,,,,,,,,,,,Electronica_Analogica (BIOMED_5),,Instrumental_2 (NANO_5),,,
08:00-08:30,,Circuitos_Electricos (NANO_4),,,Optativa_Especialidad_5_Fisica (FIS_9),,,,,,,,,,,,,,,,,,Electronica_Analogica (BIOMED_5),,Instrumental_2 (NANO_5),,,
08:30-09:00,,Circuitos_Electricos (NANO_4),,,Optativa_Especialidad_5_Fisica (FIS_9),Seminario_de_Titulacion_2 (NANO_9),,,,,,,,,,,,,,Calculo_Multivariable (NANO_3),,,Electronica_Analogica (BIOMED_5),,Instrumental_2 (NANO_5),Laboratorio_de_Electromagnetismo (BIOMED_3),,
09:00-09:30,,Circuitos_Electricos (NANO_4),,,Optativa_Especialidad_5_Fisica (FIS_9),Seminario_de_Titulacion_2 (NANO_9),,,,,,,,,,,,,,Calculo_Multivariable (NANO_3),,,Electronica_Analogica (BIOMED_5),,Instrumental_2 (NANO_5),Laboratorio_de_Electromagnetismo (BIOMED_3),,
09:30-10:00,,Circuitos_Electricos (NANO_4),,,Optativa_Especialidad_5_Fisica (FIS_9),Seminario_de_Titulacion_2 (NANO_9),,,,,,,Teoria_de_Control (BIOMED_6),,,,,,,Calculo_Multivariable (NANO_3),,,Electronica_Analogica (BIOMED_5),,Instrumental_2 (NANO_5),,,
10:00-10:30,,,,,Optativa_Especialidad_5_Fisica (FIS_9),Seminario_de_Titulacion_2 (NANO_9),,,,,,,Teoria_de_Control (BIOMED_6),,,,,,,Calculo_Multivariable (NANO_3),,Aprendizaje_Profundo (MCIA_2),Electronica_Analogica (BIOMED_5),Ecuaciones_Diferenciales (NANO_3),Termodinamica (NANO_4),,,Laboratorio_Ingenieria_de_Materiales_1 (NANO_6)
10:30-11:00,,Taller_2 (FIS_3),Biosistemas_en_Nanoescala (NANO_8),,,,,,,,,,Teoria_de_Control (BIOMED_6),,,,,,,Calculo_Multivariable (NANO_3),,Aprendizaje_Profundo (MCIA_2),Electronica_Analogica (BIOMED_5),Ecuaciones_Diferenciales (NANO_3),Termodinamica (NANO_4),,Laboratorio_Quimica_Organica_2 (BIOMED_3),Laboratorio_Ingenieria_de_Materiales_1 (NANO_6)
11:00-11:30,,Taller_2 (FIS_3),Biosistemas_en_Nanoescala (NANO_8),,,,Calculo_Multivariable (FIS_3),,,,,,Teoria_de_Control (BIOMED_6),,,,,,,Calculo_Multivariable (NANO_3),,Aprendizaje_Profundo (MCIA_2),,Ecuaciones_Diferenciales (NANO_3),Termodinamica (NANO_4),,Laboratorio_Quimica_Organica_2 (BIOMED_3),Laboratorio_Ingenieria_de_Materiales_1 (NANO_6)
11:30-12:00,,,Biosistemas_en_Nanoescala (NANO_8),,,,Calculo_Multivariable (FIS_3),,Redaccion (NANO_3),,Termodinamica (BIOMED_2),,Teoria_de_Control (BIOMED_6),,,,,,,Calculo_Multivariable (NANO_3),,Aprendizaje_Profundo (MCIA_2),,Ecuaciones_Diferenciales (NANO_3),Termodinamica (NANO_4),,,Laboratorio_Ingenieria_de_Materiales_1 (NANO_6)
