,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
07:00-07:30,Control_Inteligente (BIOMED_7),Mecanica_Clasica (FIS_4),,,,Fisicoquimica (NANO_5),Analisis_de_Sistemas_Probabilisticos (FIS_5),Algebra_Lineal (BIOMED_1),Analisis_Numerico (BIOMED_4),,,Fisica_Computacional (FIS_8),,Calculo_Diferencial (BIOMED_1),,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),Optativa_Especialidad_8_BioMed (BIOMED_9),,Sistemas_Biomecanicos (BIOMED_8),,,,,
07:30-08:00,Control_Inteligente (BIOMED_7),Mecanica_Clasica (FIS_4),,Algebra_Lineal (FIS_1),,Fisicoquimica (NANO_5),Analisis_de_Sistemas_Probabilisticos (FIS_5),Algebra_Lineal (BIOMED_1),Analisis_Numerico (BIOMED_4),,,Fisica_Computacional (FIS_8),,Calculo_Diferencial (BIOMED_1),,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),Optativa_Especialidad_8_BioMed (BIOMED_9),,,,,,,
08:00-08:30,,Mecanica_Clasica (FIS_4),,Algebra_Lineal (FIS_1),,Fisicoquimica (NANO_5),Analisis_de_Sistemas_Probabilisticos (FIS_5),Algebra_Lineal (BIOMED_1),Analisis_Numerico (BIOMED_4),,,Fisica_Computacional (FIS_8),,Calculo_Diferencial (BIOMED_1),,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),Optativa_Especialidad_8_BioMed (BIOMED_9),,,,Programacion_2 (FIS_3),,,
08:30-09:00,,Mecanica_Clasica (FIS_4),,Algebra_Lineal (FIS_1),,Fisicoquimica (NANO_5),,Algebra_Lineal (BIOMED_1),Analisis_Numerico (BIOMED_4),,,Fisica_Computacional (FIS_8),Operaciones_Unitarias (NANO_6),,,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),Optativa_Especialidad_8_BioMed (BIOMED_9),,,,Programacion_2 (FIS_3),,,
09:00-09:30,Bioquimica (NANO_3),Mecanica_Clasica (FIS_4),,Algebra_Lineal (FIS_1),,Fisicoquimica (NANO_5),Calculo_Diferencial (NANO_1),Algebra_Lineal (BIOMED_1),Analisis_Numerico (BIOMED_4),,,Fisica_Computacional (FIS_8),Operaciones_Unitarias (NANO_6),,,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),Optativa_Especialidad_8_BioMed (BIOMED_9),,,,Programacion_2 (FIS_3),,,
09:30-10:00,Bioquimica (NANO_3),Mecanica_Clasica (FIS_4),,Algebra_Lineal (FIS_1),,,Calculo_Diferencial (NANO_1),Algebra_Lineal (BIOMED_1) | Modelado_y_Simulación_de_Sistemas_Biológicos (BIOMED_5),Analisis_Numerico (BIOMED_4),,,Fisica_Computacional (FIS_8),Operaciones_Unitarias (NANO_6),,,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),,,,,Programacion_2 (FIS_3),,,
10:00-10:30,Bioquimica (NANO_3),Mecanica_Clasica (FIS_4),,Algebra_Lineal (FIS_1),,,Calculo_Diferencial (NANO_1),Algebra_Lineal (BIOMED_1) | Modelado_y_Simulación_de_Sistemas_Biológicos (BIOMED_5),Analisis_Numerico (BIOMED_4),,,,Operaciones_Unitarias (NANO_6),,,,,,,Optativa_Especialidad_4_BioMed (BIOMED_8),,,,,Programacion_2 (FIS_3),,,
10:30-11:00,Bioquimica (NANO_3),,,Algebra_Lineal (FIS_1),,,Calculo_Diferencial (NANO_1),Modelado_y_Simulación_de_Sistemas_Biológicos (BIOMED_5),Analisis_Numerico (BIOMED_4),,,,Operaciones_Unitarias (NANO_6),,,,,,,Anatomia (BIOMED_4),,Analisis_Numerico (FIS_4),,,Programacion_2 (FIS_3),,,
11:00-11:30,Bioquimica (NANO_3),Proyecto_Fase_3 (FIS_7),,Algebra_Lineal (FIS_1),,,Calculo_Diferencial (NANO_1),Modelado_y_Simulación_de_Sistemas_Biológicos (BIOMED_5),,,,,Operaciones_Unitarias (NANO_6),,,,,,,Anatomia (BIOMED_4),Biotecnologia (NANO_6),Analisis_Numerico (FIS_4),,,Programacion_2 (FIS_3),,,
11:30-12:00,Bioquimica (NANO_3),Proyecto_Fase_3 (FIS_7),,Algebra_Lineal (FIS_1),,,Calculo_Diferencial (NANO_1),Modelado_y_Simulación_de_Sistemas_Biológicos (BIOMED_5),,,,,Operaciones_Unitarias (NANO_6),,,,,,,Anatomia (BIOMED_4),Biotecnologia (NANO_6),Analisis_Numerico (FIS_4),,,Programacion_2 (FIS_3),,,
12:00-12:30,Bioquimica (NANO_3),,,Algebra_Lineal (FIS_1),,,Calculo_Diferencial (NANO_1),Modelado_y_Simulación_de_Sistemas_Biológicos (BIOMED_5),,,,,Operaciones_Unitarias (NANO_6),,,,,,,Anatomia (BIOMED_4),Biotecnologia (NANO_6),Analisis_Numerico (FIS_4),,,,,,
