,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
07:00-07:30,Mecanica_Cuantica (NANO_5),Optica_Fisica (NANO_4) | Energias_Alternativas (NANO_9),,Quimica_Analitica (NANO_2),Fisicoquimica (BIOMED_3),,Tecnologia_de_Materiales (BIOMED_5),,,Quimica_1 (FIS_1),,,Metodos_Matematicos (NANO_4),,,Escritura_Cientifica (MCIA_3),,,,Biomagnetismo (BIOMED_4),,Expresion_Oral_y_Escrita (BIOMED_2),,,,,,
07:30-08:00,,Energias_Alternativas (NANO_9),,Quimica_Analitica (NANO_2),,,Tecnologia_de_Materiales (BIOMED_5),,,Quimica_1 (FIS_1),,,Metodos_Matematicos (NANO_4),Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Escritura_Cientifica (MCIA_3),,,,Biomagnetismo (BIOMED_4),,Expresion_Oral_y_Escrita (BIOMED_2),,,,,,
08:00-08:30,,Energias_Alternativas (NANO_9),,Quimica_Analitica (NANO_2),Intro_a_la_Computacion (FIS_1),,Tecnologia_de_Materiales (BIOMED_5),,,Quimica_1 (FIS_1) | Metodos_Matematicos_2 (FIS_5) | Optativa_Especialidad_1_Nano (NANO_6),,,Metodos_Matematicos (NANO_4),Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Escritura_Cientifica (MCIA_3),,,,,,Expresion_Oral_y_Escrita (BIOMED_2),,,,,,
08:30-09:00,,Energias_Alternativas (NANO_9),,Quimica_Analitica (NANO_2),Intro_a_la_Computacion (FIS_1),,,,,Quimica_1 (FIS_1) | Metodos_Matematicos_2 (FIS_5) | Optativa_Especialidad_1_Nano (NANO_6),,,,Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Escritura_Cientifica (MCIA_3),,,,,,Expresion_Oral_y_Escrita (BIOMED_2),,,,,,
09:00-09:30,,Energias_Alternativas (NANO_9),,Quimica_Analitica (NANO_2),Intro_a_la_Computacion (FIS_1),,,,,Quimica_1 (FIS_1) | Metodos_Matematicos_2 (FIS_5) | Optativa_Especialidad_1_Nano (NANO_6),,,,Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Escritura_Cientifica (MCIA_3),,Optativa_2 (MCIA_2),,,,Expresion_Oral_y_Escrita (BIOMED_2),,,,,,
09:30-10:00,,Energias_Alternativas (NANO_9),,Quimica_Analitica (NANO_2),Intro_a_la_Computacion (FIS_1),,,,,Metodos_Matematicos_2 (FIS_5) | Optativa_Especialidad_1_Nano (NANO_6),,,Electromagnetismo (BIOMED_3),Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Escritura_Cientifica (MCIA_3),,Optativa_2 (MCIA_2),,,,,,,,Laboratorio_Biologia_Molecular (NANO_4),,
10:00-10:30,,,,Quimica_Analitica (NANO_2),,,Optativa_Especialidad_1_Fisica (FIS_8),,,Metodos_Matematicos_2 (FIS_5) | Optativa_Especialidad_1_Nano (NANO_6),,,Electromagnetismo (BIOMED_3),Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Seminario_de_Tesis_1 (MCIA_3),,Optativa_2 (MCIA_2),,Quimica_1 (BIOMED_1),,Redes_Neuronales (MCIA_1),,,,Laboratorio_Biologia_Molecular (NANO_4),Laboratorio_Quimica (NANO_1),
10:30-11:00,Principios_de_Caracterizacion (FIS_7),,Optica_Fisica (FIS_5),Quimica_Analitica (NANO_2),,,Optativa_Especialidad_1_Fisica (FIS_8),,,Metodos_Matematicos_2 (FIS_5) | Optativa_Especialidad_1_Nano (NANO_6),,,Electromagnetismo (BIOMED_3),Estatica (BIOMED_2) | Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Seminario_de_Tesis_1 (MCIA_3),,Optativa_2 (MCIA_2),,Quimica_1 (BIOMED_1),,Redes_Neuronales (MCIA_1),,,,,Laboratorio_Quimica (NANO_1),
11:00-11:30,Seminario_de_Tesis_2 (MCIA_4) | Principios_de_Caracterizacion (FIS_7),,Optica_Fisica (FIS_5),,,,Optativa_Especialidad_1_Fisica (FIS_8),,,Metodos_Matematicos_2 (FIS_5),,,Electromagnetismo (BIOMED_3),Estatica (BIOMED_2) | Formulaciones_Nanotecnologicas_para_la_Industria (NANO_8),,Seminario_de_Tesis_1 (MCIA_3),,Optativa_2 (MCIA_2),,Quimica_1 (BIOMED_1),,Redes_Neuronales (MCIA_1),,,,Fisica_Experimental (FIS_2),,
11:30-12:00,Seminario_de_Tesis_2 (MCIA_4) | Principios_de_Caracterizacion (FIS_7),,Optica_Fisica (FIS_5),,,,Optativa_Especialidad_1_Fisica (FIS_8),,,Metodos_Matematicos_2 (FIS_5),,,Electromagnetismo (BIOMED_3),Estatica (BIOMED_2),,Seminario_de_Tesis_1 (MCIA_3),,Optativa_2 (MCIA_2),,Quimica_1 (BIOMED_1),,Redes_Neuronales (MCIA_1),,,,Fisica_Experimental (FIS_2),,
