,14A2 1,14A2 10,14A2 11,14A2 12,14A2 13,14A2 14,14A2 15,14A2 16,14A2 17,14A2 18,14A2 19,14A2 2,14A2 20,14A2 21,14A2 3,14A2 4,14A2 5,14A2 6,14A2 7,14A2 8,14A2 9,UM 10,UM 11,UM 12,UM 13,UM LBE,UM LE,UM LQ
07:00-07:30,Topicos_Selectos_de_Ingenieria (NANO_5),Ingenieria_de_Materiales_2 (NANO_7),Circuitos_Electricos (BIOMED_4),,,,,Optativa_Especialidad_3_BioMed (BIOMED_8),Biomateriales (BIOMED_6),,Optativa_4 (MCIA_3) | Fisica_Estadistica (FIS_6),,,,,,Aprendizaje_Automatico (MCIA_1),,,Elemento_Finito (FIS_6),Biologia (BIOMED_2),,Quimica_Organica_2 (NANO_3),Ecuaciones_Diferenciales (BIOMED_3),,,,
07:30-08:00,,Ingenieria_de_Materiales_2 (NANO_7),Circuitos_Electricos (BIOMED_4),,,,,Intro_a_Biomedica (BIOMED_1) | Optativa_Especialidad_3_BioMed (BIOMED_8),Biomateriales (BIOMED_6),,Optativa_4 (MCIA_3),,Ing_Clinica (BIOMED_7),,,,Aprendizaje_Automatico (MCIA_1),,,Elemento_Finito (FIS_6),Biologia (BIOMED_2),,Quimica_Organica_2 (NANO_3),Ecuaciones_Diferenciales (BIOMED_3),,,,
08:00-08:30,,Ingenieria_de_Materiales_2 (NANO_7),Circuitos_Electricos (BIOMED_4) | Seminario_de_Titulacion (NANO_8),,,,,Intro_a_Biomedica (BIOMED_1),Biomateriales (BIOMED_6),,Optativa_4 (MCIA_3),,Ing_Clinica (BIOMED_7),,,,Aprendizaje_Automatico (MCIA_1),,,Elemento_Finito (FIS_6),Biologia (BIOMED_2),,Quimica_Organica_2 (NANO_3),Ecuaciones_Diferenciales (BIOMED_3),,,,
08:30-09:00,,,Calculo_Diferencial (FIS_1) | Seminario_de_Titulacion (NANO_8),Fisica_1 (BIOMED_1),,,,Intro_a_Biomedica (BIOMED_1),Biomateriales (BIOMED_6),,Optativa_4 (MCIA_3),,Ing_Clinica (BIOMED_7),Calculo_Integral (NANO_2),,,Aprendizaje_Automatico (MCIA_1),,,Elemento_Finito (FIS_6),Biologia (BIOMED_2),,Quimica_Organica_2 (NANO_3),Ecuaciones_Diferenciales (BIOMED_3),,,,
09:00-09:30,,,Calculo_Diferencial (FIS_1) | Seminario_de_Titulacion (NANO_8),Fisica_1 (BIOMED_1),,,,Intro_a_Biomedica (BIOMED_1),Biomateriales (BIOMED_6),,Optativa_4 (MCIA_3),,Ing_Clinica (BIOMED_7),Calculo_Integral (NANO_2),,,,,,Elemento_Finito (FIS_6),Biologia (BIOMED_2),,,,Optativa_Especialidad_1_BioMed (BIOMED_8),,,
09:30-10:00,Taller_3 (FIS_4),,Calculo_Diferencial (FIS_1) | Seminario_de_Titulacion (NANO_8),Fisica_1 (BIOMED_1),,Optativa_Especialidad_6_Fisica (FIS_9),,Intro_a_Biomedica (BIOMED_1),Biomateriales (BIOMED_6),,,,Ing_Clinica (BIOMED_7),Calculo_Integral (NANO_2),Metodos_Estadisticos (MCIA_2),,,,,Elemento_Finito (FIS_6),Biologia (BIOMED_2),,,Dispositivos_Semiconductores (NANO_7),Optativa_Especialidad_1_BioMed (BIOMED_8),Laboratorio_Quimica_Inorganica_2 (NANO_3),,Laboratorio_Circuitos_Electricos (NANO_4)
10:00-10:30,Taller_3 (FIS_4),,Calculo_Diferencial (FIS_1),Fisica_1 (BIOMED_1),,Optativa_Especialidad_6_Fisica (FIS_9),,Intro_a_Biomedica (BIOMED_1) | Programacion_1 (BIOMED_2),Biomateriales (BIOMED_6),,,,Ing_Clinica (BIOMED_7),Calculo_Integral (NANO_2),Metodos_Estadisticos (MCIA_2),,,,,,Biologia (BIOMED_2),,,Dispositivos_Semiconductores (NANO_7),Optativa_Especialidad_1_BioMed (BIOMED_8),Laboratorio_Quimica_Inorganica_2 (NANO_3),,Laboratorio_Circuitos_Electricos (NANO_4)
10:30-11:00,,,Calculo_Diferencial (FIS_1),Fisica_1 (BIOMED_1),,Optativa_Especialidad_6_Fisica (FIS_9),,Programacion_1 (BIOMED_2),,,Seminario_de_Titulacion (BIOMED_10),,Ing_Clinica (BIOMED_7),Calculo_Integral (NANO_2),Metodos_Estadisticos (MCIA_2),,,,,,,,,Dispositivos_Semiconductores (NANO_7),Optativa_Especialidad_1_BioMed (BIOMED_8),,,Laboratorio_Circuitos_Electricos (NANO_4)
11:00-11:30,,,Calculo_Diferencial (FIS_1),Fisica_1 (BIOMED_1),,Optativa_Especialidad_6_Fisica (FIS_9),,Programacion_1 (BIOMED_2),Ingenieria_de_Materiales_1 (NANO_6),,Seminario_de_Titulacion (BIOMED_10),,Ing_Clinica (BIOMED_7) | Optativa_Especialidad_6_BioMed (BIOMED_9),Calculo_Integral (NANO_2),Metodos_Estadisticos (MCIA_2),,,,,,,,,Dispositivos_Semiconductores (NANO_7),Optativa_Especialidad_1_BioMed (BIOMED_8),,,Laboratorio_Circuitos_Electricos (NANO_4)
11:30-12:00,,,Calculo_Diferencial (FIS_1),Fisica_1 (BIOMED_1),,Optativa_Especialidad_6_Fisica (FIS_9),,Programacion_1 (BIOMED_2),Ingenieria_de_Materiales_1 (NANO_6),,Seminario_de_Titulacion (BIOMED_10),,Optativa_Especialidad_6_BioMed (BIOMED_9),Calculo_Integral (NANO_2),Metodos_Estadisticos (MCIA_2),,,,,,,,,Dispositivos_Semiconductores (NANO_7),Optativa_Especialidad_1_BioMed (BIOMED_8),,,
12:00-12:30,,,Calculo_Diferencial (FIS_1),Fisica_1 (BIOMED_1),,Optativa_Especialidad_6_Fisica (FIS_9),Programacion_1 (FIS_2),Programacion_1 (BIOMED_2),Ingenieria_de_Materiales_1 (NANO_6),,Seminario_de_Titulacion (BIOMED_10),Bioelectronica (BIOMED_7),Optativa_Especialidad_6_BioMed (BIOMED_9),Calculo_Integral (NANO_2),Metodos_Estadisticos (MCIA_2),,,,,,,,,Dispositivos_Semiconductores (NANO_7),Optativa_Especialidad_1_BioMed (BIOMED_8),,,
12:30-13:00,,,Calculo_Diferencial (FIS_1),,,,Programacion_1 (FIS_2),Programacion_1 (BIOMED_2),Ingenieria_de_Materiales_1 (NANO_6),,,Bioelectronica (BIOMED_7),Optativa_Especialidad_6_BioMed (BIOMED_9),,,,,,,,Laboratorio_Optativa_Especialidad_1_Nano (NANO_6),,,,Electrodinamica_Clasica (FIS_6) | Optativa_Especialidad_1_BioMed (BIOMED_8),,,
13:00-13:30,,,Calculo_Diferencial (FIS_1),,,Algoritmos_Metaheuristicos (MCIA_2),Programacion_1 (FIS_2),Programacion_1 (BIOMED_2),Ingenieria_de_Materiales_1 (NANO_6),,,Electromagnetismo (FIS_3) | Bioelectronica (BIOMED_7),Optativa_Especialidad_6_BioMed (BIOMED_9),,,,,,,,Laboratorio_Optativa_Especialidad_1_Nano (NANO_6),,,,Electrodinamica_Clasica (FIS_6),Laboratorio_de_Electromagnetismo (NANO_3),,
13:30-14:00,,,,,,Algoritmos_Metaheuristicos (MCIA_2),Programacion_1 (FIS_2),Programacion_1 (BIOMED_2),Ingenieria_de_Materiales_1 (NANO_6),,,Electromagnetismo (FIS_3) | Bioelectronica (BIOMED_7),Optativa_Especialidad_6_BioMed (BIOMED_9),,,,,,,Didactica (FIS_7),,,,,Electrodinamica_Clasica (FIS_6),Laboratorio_de_Electromagnetismo (NANO_3),,
14:00-14:30,,,,,Bioetica (BIOMED_7),Algoritmos_Metaheuristicos (MCIA_2),Programacion_1 (FIS_2),Programacion_1 (BIOMED_2) | Fisiologia_2 (BIOMED_6),,,,Electromagnetismo (FIS_3),Optativa_Especialidad_6_BioMed (BIOMED_9),,,,,,,Didactica (FIS_7),,Universidad_y_Sociedad (BIOMED_1),,,Electrodinamica_Clasica (FIS_6),,,
14:30-15:00,Calculo_Integral (FIS_2),,,,Bioetica (BIOMED_7),Algoritmos_Metaheuristicos (MCIA_2),Programacion_1 (FIS_2),Programacion_1 (BIOMED_2) | Fisiologia_2 (BIOMED_6),,,,Electromagnetismo (FIS_3),Optativa_Especialidad_6_BioMed (BIOMED_9),,,,,,,Didactica (FIS_7),,Universidad_y_Sociedad (BIOMED_1),,Intro_Biosensores (BIOMED_5),Electrodinamica_Clasica (FIS_6) | Instrumentacion_con_MEMS (NANO_9),,,
15:00-15:30,Calculo_Integral (FIS_2),,,,Bioetica (BIOMED_7),Algoritmos_Metaheuristicos (MCIA_2),Programacion_1 (FIS_2),Fisiologia_2 (BIOMED_6),,,,Electromagnetismo (FIS_3),,,,,,,,Didactica (FIS_7),,Universidad_y_Sociedad (BIOMED_1),,Fisica_Moderna (FIS_4) | Intro_Biosensores (BIOMED_5),Electrodinamica_Clasica (FIS_6) | Instrumentacion_con_MEMS (NANO_9),,,
15:30-16:00,Calculo_Integral (FIS_2),,,,Bioetica (BIOMED_7),Algoritmos_Metaheuristicos (MCIA_2),Programacion_1 (FIS_2),Fisiologia_2 (BIOMED_6),,,,Electromagnetismo (FIS_3),,,,,,,,Didactica (FIS_7),Intro_a_la_Ingenieria (FIS_2),Universidad_y_Sociedad (BIOMED_1),,Fisica_Moderna (FIS_4) | Intro_Biosensores (BIOMED_5),Electrodinamica_Clasica (FIS_6) | Instrumentacion_con_MEMS (NANO_9),Laboratorio_Circuitos_Electricos (BIOMED_4),Fisica_Experimental_2 (FIS_3),
16:00-16:30,Calculo_Integral (FIS_2),,Ing_Nanotecnologia (NANO_7),,Bioetica (BIOMED_7),,Programacion_1 (FIS_2),Fisiologia_2 (BIOMED_6),,,,,,,,,,,,Didactica (FIS_7),Intro_a_la_Ingenieria (FIS_2),Universidad_y_Sociedad (BIOMED_1),,Fisica_Moderna (FIS_4) | Intro_Biosensores (BIOMED_5),Electrodinamica_Clasica (FIS_6) | Instrumentacion_con_MEMS (NANO_9),Laboratorio_Circuitos_Electricos (BIOMED_4),Fisica_Experimental_2 (FIS_3),
