v,Euler(v),"(v,w)",Path,,,
0,Euler 0,"(0,1)","{(0,1) || Euler 1 || NULL}","{(0,1),(1,2),(2,3),(3,4),(4,5),(5,9),(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
1,Euler 1,"(1,2)","{(1,2) || Euler 2 || NULL}","{(1,2),(2,3),(3,4),(4,5),(5,9),(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
2,Euler 2,"(2,3)","{(2,3) || Euler 3 || NULL}","{(2,3),(3,4),(4,5),(5,9),(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
3,Euler 3,"(3,4)","{(3,4) || Euler 4 || NULL}","{(3,4),(4,5),(5,9),(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
4,Euler 4,"(4,5)","{(4,5) || Euler 5 || NULL}","{(4,5),(5,9),(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
5,Euler 5,"(5,9)","{(5,9) || Euler 9 || NULL}","{(5,9),(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
9,Euler 9,"(9,3)","{(9,3) || Euler 3 || NULL}","{(9,3),(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
3,Euler 3,"(3,2)","{(3,2) || Euler 2 || NULL}","{(3,2),(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
2,Euler 2,"(2,9)","{(2,9) || Euler 9 || NULL}","{(2,9),(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
9,Euler 9,"(9,1)","{(9,1) || Euler 1 || NULL}","{(9,1),(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
1,Euler 1,"(1,9)","{(1,9) || Euler 9 || NULL}","{(1,9),(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
9,Euler 9,"(9,8)","{(9,8) || Euler 8 || NULL}","{(9,8),(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
8,Euler 8,"(8,0)","{(8,0) || Euler 0 || NULL}","{(8,0),(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
0,Euler 0,"(0,7)","{(0,7) || Euler 7 || NULL}","{(0,7),(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
7,Euler 7,"(7,6)","{(7,6) || Euler 6 || NULL}","{(7,6),(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
6,Euler 6,"(6,5)","{(6,5) || Euler 5 || NULL}","{(6,5),(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
5,Euler 5,"(5,8)","{(5,8) || Euler 8 || NULL}","{(5,8),(8,5),(5,6),(6,9),(9,8),(8,0)}",,
8,Euler 8,"(8,5)","{(8,5) || Euler 5 || NULL}","{(8,5),(5,6),(6,9),(9,8),(8,0)}",,
5,Euler 5,"(5,6)","{(5,6) || Euler 6 || NULL}","{(5,6),(6,9),(9,8),(8,0)}",,
6,Euler 6,"(6,9)","{(6,9) || Euler 9 || NULL}","{(6,9),(9,8),(8,0)}",,
9,Euler 9,"(9,8)","{(9,8) || Euler 8 || NULL}","{(9,8),(8,0)}",,
8,Euler 8,"(8,0)","{(8,0) || Euler 0 || NULL}","{(8,0)}",,
0,Euler 0,"(0,8)",Null,,,
